Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Garrett Crochet","BOS",8,4,2.341040565668914,18,18,11,0,0,0,0,0,115.1,457,88,33,30,10,32,0,0,2,3,144,"Garrett Crochet",27463,676979
"Tarik Skubal","DET",10,2,2.146788990825688,17,17,10,1,1,0,0,0,109,413,77,26,26,8,14,0,3,1,1,138,"Tarik Skubal",22267,669373
"Zack Wheeler","PHI",8,3,2.2710280373831777,17,17,13,0,0,0,0,0,107,413,72,29,27,10,25,0,3,1,0,136,"Zack Wheeler",10310,554430
"MacKenzie Gore","WSN",3,8,3.105431461294325,18,18,11,0,0,0,0,0,104.1,429,92,37,36,11,34,0,3,6,0,131,"MacKenzie Gore",22201,669022
"Logan Webb","SFG",7,6,2.612903284266481,18,18,14,0,0,0,0,0,113.2,461,106,37,33,7,24,0,1,2,0,127,"Logan Webb",17995,657277
"Hunter Brown","HOU",9,3,1.8173076923076923,17,17,13,1,0,0,0,0,104,393,65,22,21,9,29,0,3,0,0,126,"Hunter Brown",25880,686613
"Carlos Rodón","NYY",9,5,2.9531250704079883,18,18,9,0,0,0,0,0,106.2,425,70,38,35,13,37,0,4,3,0,123,"Carlos Rodon",16137,607074
"Dylan Cease","SDP",3,8,4.623287912827997,18,18,6,0,0,0,0,0,97.1,419,93,53,50,12,36,1,3,2,0,121,"Dylan Cease",18525,656302
"Robbie Ray","SFG",9,3,2.683229750088763,18,18,12,1,0,0,0,0,107.1,431,78,35,32,12,39,0,0,4,0,117,"Robbie Ray",11486,592662
"Jesús Luzardo","PHI",7,5,4.438356396314877,18,18,9,0,0,0,0,0,97.1,423,108,52,48,7,35,0,1,2,1,115,"Jesus Luzardo",19959,666200
"Paul Skenes","PIT",4,7,2.027027027027027,18,18,12,1,0,0,0,0,111,429,72,28,25,5,30,0,3,2,0,115,"Paul Skenes",33677,694973
"Chris Sale","ATL",5,4,2.5186568598196035,15,15,8,0,0,0,0,0,89.1,370,78,27,25,7,26,0,7,2,0,114,"Chris Sale",10603,519242
"Grant Holmes","ATL",4,7,3.468750275671504,18,17,7,0,0,0,0,0,96,401,74,38,37,14,45,0,4,2,0,113,"Grant Holmes",16944,656550
"Jack Flaherty","DET",5,9,4.835821170853639,17,17,6,0,0,0,0,0,89.1,374,74,49,48,16,37,0,3,1,0,109,"Jack Flaherty",17479,656427
"Yoshinobu Yamamoto","LAD",8,6,2.5137931695817928,17,17,10,0,0,0,0,0,96.2,381,66,30,27,9,32,0,2,4,0,109,"Yoshinobu Yamamoto",33825,808967
"Framber Valdez","HOU",9,4,2.7247706422018347,17,17,13,2,0,0,0,0,109,439,84,33,33,6,39,0,4,5,0,108,"Framber Valdez",17295,664285
"Cristopher Sánchez","PHI",7,2,2.682119273056113,17,17,11,0,0,0,0,0,100.2,412,86,31,30,7,28,0,6,5,0,108,"Cristopher Sanchez",20778,650911
"Joe Ryan","MIN",8,4,2.7457626408525204,17,16,9,0,0,0,0,0,98.1,383,66,31,30,11,20,0,10,0,2,108,"Joe Ryan",21390,657746
"Spencer Schwellenbach","ATL",7,4,3.0903615167999616,17,17,13,1,0,0,0,0,110.2,434,89,44,38,13,18,1,2,2,0,108,"Spencer Schwellenbach",31846,680885
"Sonny Gray","STL",8,3,3.51,17,17,9,1,1,0,0,0,100,400,90,41,39,10,18,0,3,1,0,107,"Sonny Gray",12768,543243
"Nick Pivetta","SDP",9,2,3.247422680412371,17,17,10,0,0,0,0,0,97,385,77,37,35,12,24,0,1,0,0,107,"Nick Pivetta",15454,601713
"Kris Bubic","KCR",7,6,2.3592233009708736,17,17,11,0,0,0,0,0,103,418,86,31,27,6,32,1,3,1,0,107,"Kris Bubic",21455,663460
"Max Fried","NYY",10,2,2.1315789473684212,18,18,13,0,0,0,0,0,114,448,84,33,27,9,23,0,6,4,1,106,"Max Fried",13743,608331
"Yusei Kikuchi","LAA",3,6,2.814332387437473,18,18,8,0,0,0,0,0,102.1,435,94,39,32,11,46,3,1,3,0,106,"Yusei Kikuchi",20633,579328
"Freddy Peralta","MIL",9,4,2.909090909090909,18,18,7,0,0,0,0,0,99,408,73,33,32,12,35,0,7,3,0,104,"Freddy Peralta",18679,642547
"Bryan Woo","SEA",8,4,2.767080876466781,17,17,13,0,0,0,0,0,107.1,423,84,35,33,14,19,0,3,2,0,104,"Bryan Woo",30279,693433
"Merrill Kelly","ARI",7,4,3.548076923076923,18,18,10,0,0,0,0,0,104,421,84,47,41,12,29,0,1,0,1,103,"Merrill Kelly",11156,518876
"Chris Bassitt","TOR",8,4,4.32,18,18,6,0,0,0,0,0,100,440,111,50,48,12,28,0,8,3,2,102,"Chris Bassitt",12304,605135
"Ryan Pepiot","TBR",6,6,3.3420197100819995,18,18,11,0,0,0,0,0,102.1,413,85,39,38,16,33,0,3,3,0,101,"Ryan Pepiot",26221,686752
"Jacob deGrom","TEX",9,2,2.131579054359589,17,17,10,0,0,0,0,0,101.1,386,69,24,24,10,21,0,2,1,0,100,"Jacob deGrom",10954,594798
"Zac Gallen","ARI",6,9,5.451923076923077,18,18,6,0,0,0,0,0,104,448,100,67,63,20,42,1,2,1,0,98,"Zac Gallen",19291,668678
"Shane Baz","TBR",8,3,4.331058133253759,17,17,7,0,0,0,0,0,97.2,407,86,47,47,16,36,0,5,2,0,97,"Shane Baz",22264,669358
"Luis L. Ortiz","CLE",4,9,4.364661779322281,16,16,5,0,0,0,0,0,88.2,382,80,44,43,12,42,0,1,0,0,96,"Luis L. Ortiz",27646,682847
"Kevin Gausman","TOR",6,6,4.181818181818182,17,17,8,0,0,0,0,0,99,401,81,47,46,12,29,1,3,0,1,93,"Kevin Gausman",14107,592332
"Chad Patrick","MIL",3,7,3.513011252052598,18,17,5,0,0,0,0,0,89.2,381,89,35,35,9,29,1,4,0,0,93,"Chad Patrick",30113,694477
"José Berríos","TOR",4,3,3.639498606690726,18,18,11,0,0,0,0,0,106.1,437,95,44,43,13,37,2,4,1,1,92,"Jose Berrios",14168,621244
"José Soriano","LAA",6,5,3.7211538461538463,18,18,10,0,0,0,0,0,104,443,101,46,43,4,47,0,2,3,0,91,"Jose Soriano",22100,667755
"Matthew Boyd","CHC",8,3,2.645270338452064,17,17,12,0,0,0,0,0,98.2,394,85,34,29,10,22,0,5,1,0,87,"Matthew Boyd",15440,571510
