Team,ERA,IP,WHIP,xERA,Relievers,IP_Week
League Average,4.94,281.8,,4.43,8,40.26
Arizona Diamondbacks,3.61,109.2,,3.45,3,15.6
Oakland Athletics,4.75,171.2,,3.74,5,24.46
Atlanta Braves,3.09,200.9,,3.26,6,28.7
Baltimore Orioles,3.39,198.9,,3.12,6,28.41
Boston Red Sox,3.01,153.4,,3.12,4,21.91
Chicago Cubs,2.15,169.9,,3.21,5,24.27
Chicago White Sox,3.07,141.3,,4.5,4,20.19
Cincinnati Reds,3.51,247.7,,3.68,7,35.39
Cleveland Guardians,3.4,237.6,,3.81,7,33.94
Colorado Rockies,4.41,234.6,,3.69,6,33.51
Detroit Tigers,2.83,222.5,,3.57,6,31.79
Houston Astros,2.13,190.4,,2.64,5,27.2
Kansas City Royals,2.72,213.5,,3.54,6,30.5
Los Angeles Angels,4.26,140.7,,3.86,4,20.1
Los Angeles Dodgers,3.27,234.3,,3.61,6,33.47
Miami Marlins,3.2,199.5,,3.81,5,28.5
Milwaukee Brewers,2.8,189.6,,3.17,5,27.09
Minnesota Twins,3.24,187.3,,2.94,5,26.76
New York Mets,3.21,221.5,,3.57,6,31.64
New York Yankees,3.63,202.3,,3.44,6,28.9
Philadelphia Phillies,4.44,176.6,,3.61,5,25.23
Pittsburgh Pirates,2.65,145.2,,3.45,4,20.74
San Diego Padres,3.23,235.5,,3.21,6,33.64
Seattle Mariners,3.07,219.5,,3.38,6,31.36
San Francisco Giants,2.4,231.5,,3.12,6,33.07
St. Louis Cardinals,3.54,181.2,,3.88,5,25.89
Tampa Bay Rays,3.52,204.7,,3.72,6,29.24
Texas Rangers,3.3,279.8,,3.78,8,39.97
Toronto Blue Jays,3.63,195.3,,3.85,5,27.9
Washington Nationals,4.85,211.6,,4.45,6,30.23
