Team,ERA,IP,WHIP,xERA,Relievers,IP_Week
League Average,3.77,80.7,1.3,3.9,8,21.21
Athletics,3.9,83.0,1.41,3.91,9,20.67
Pittsburgh Pirates,2.57,91.0,1.21,3.44,9,23.0
San Diego Padres,3.03,95.0,1.18,2.63,8,23.0
Seattle Mariners,3.25,69.3,1.36,6.43,7,18.67
San Francisco Giants,2.75,78.7,1.16,4.42,8,19.33
St. Louis Cardinals,4.62,85.7,1.39,4.1,8,21.0
Tampa Bay Rays,5.4,85.0,1.4,4.19,9,22.0
Texas Rangers,2.33,65.7,1.04,3.25,8,21.33
Toronto Blue Jays,3.69,90.3,1.26,3.0,9,23.0
Minnesota Twins,4.62,72.0,1.47,3.28,8,18.67
Philadelphia Phillies,4.68,67.3,1.44,3.24,8,22.0
Atlanta Braves,2.37,64.7,1.02,3.37,8,23.67
Chicago White Sox,4.5,96.0,1.51,4.94,10,17.33
Miami Marlins,3.16,85.3,1.21,3.27,9,23.67
New York Yankees,3.98,74.7,1.38,3.63,9,11.33
Milwaukee Brewers,4.61,91.7,1.51,3.17,9,20.67
Los Angeles Angels,4.78,86.7,1.4,4.61,9,19.67
Arizona Diamondbacks,3.3,84.7,1.04,5.36,8,25.67
Baltimore Orioles,2.96,70.0,0.97,3.94,7,19.0
Boston Red Sox,3.81,75.7,1.23,3.86,8,20.0
Chicago Cubs,2.91,74.3,1.2,4.2,9,22.0
Cincinnati Reds,2.53,89.0,1.26,3.7,8,22.0
Cleveland Guardians,4.23,76.7,1.23,3.42,8,20.33
Colorado Rockies,3.53,109.7,1.3,4.73,10,33.67
Detroit Tigers,3.64,71.7,1.37,3.09,8,20.33
Houston Astros,5.28,90.3,1.51,3.79,9,23.0
Kansas City Royals,4.32,66.7,1.41,2.71,8,17.33
Los Angeles Dodgers,3.1,61.0,1.05,3.48,9,14.33
Washington Nationals,4.67,90.7,1.48,5.19,9,24.0
New York Mets,3.84,79.7,1.28,4.1,8,25.67
