Game,ml_bets_pct_home,ml_bets_pct_away,ou_bets_pct_over,ou_bets_pct_under,total_open,total_current
Detroit @ Pittsburgh,33,67,50,50,8.0,8.0
Baltimore @ Cleveland,71,29,50,50,8.0,8.0
San Diego @ Miami,46,54,50,50,8.0,8.0
Boston @ Philadelphia,68,32,50,50,8.0,8.0
Cincinnati @ Washington,35,65,50,50,8.5,8.5
Chi. White Sox @ Tampa Bay,64,36,50,50,8.0,8.0
NY Yankees @ Toronto,61,39,50,50,9.0,9.0
LA Angels @ NY Mets,63,37,50,50,9.0,9.0
San Francisco @ Atlanta,45,55,50,50,9.0,9.0
Kansas City @ Chi. Cubs,73,27,50,50,9.0,9.0
Athletics @ Texas,76,24,50,50,7.5,7.5
St. Louis @ Colorado,31,69,50,50,11.5,11.5
Houston @ Arizona,32,68,50,50,8.5,8.5
Milwaukee @ Seattle,31,69,50,50,7.0,7.0
Minnesota @ LA Dodgers,72,28,50,50,8.0,8.0
