Season,Team_ID,Team,Team_Code,File_Code,Team_Name,Pitcher_Hand,PA,AB,H,1B,2B,3B,HR,BB,IBB,uBB,HBP,SF,SO,AVG,OBP,SLG,OPS,ISO,BB_Pct,K_Pct,uBB_Pct,Estimated_wOBA,wOBA_Source,wRC_Plus,Source,Quality,Updated_At
2026,109,AZ,ari,ari,Arizona Diamondbacks,L,681,612,167,107,33,9,18,51,1,50,2,9,114,0.273,0.326,0.444,0.77,0.171,7.489,16.74,7.342,0.33,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,109,AZ,ari,ari,Arizona Diamondbacks,R,1835,1638,370,236,84,8,42,156,2,154,18,12,402,0.226,0.298,0.364,0.662,0.138,8.501,21.907,8.392,0.291,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,133,ATH,ath,ath,Athletics,L,753,677,171,111,25,4,31,63,2,61,6,1,191,0.253,0.321,0.439,0.76,0.186,8.367,25.365,8.101,0.328,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,133,ATH,ath,ath,Athletics,R,1871,1644,401,264,78,3,56,193,13,180,18,10,396,0.244,0.328,0.397,0.725,0.153,10.315,21.165,9.621,0.316,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,144,ATL,atl,atl,Atlanta Braves,L,938,844,212,131,49,3,29,77,1,76,11,5,190,0.251,0.32,0.419,0.739,0.168,8.209,20.256,8.102,0.321,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,144,ATL,atl,atl,Atlanta Braves,R,1640,1470,381,255,59,4,63,134,4,130,16,18,339,0.259,0.324,0.433,0.757,0.174,8.171,20.671,7.927,0.326,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,110,BAL,bal,bal,Baltimore Orioles,L,763,675,153,106,23,1,23,73,3,70,5,5,191,0.227,0.305,0.366,0.671,0.139,9.567,25.033,9.174,0.294,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,110,BAL,bal,bal,Baltimore Orioles,R,1865,1635,404,250,91,6,57,195,1,194,13,15,426,0.247,0.329,0.415,0.744,0.168,10.456,22.842,10.402,0.324,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,111,BOS,bos,bos,Boston Red Sox,L,638,572,153,104,31,3,15,49,1,48,9,4,135,0.267,0.333,0.411,0.744,0.144,7.68,21.16,7.524,0.324,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,111,BOS,bos,bos,Boston Red Sox,R,1836,1648,387,258,83,9,37,142,2,140,29,11,413,0.235,0.305,0.363,0.668,0.128,7.734,22.495,7.625,0.294,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,112,CHC,chn,chc,Chicago Cubs,L,756,655,161,115,25,3,18,80,4,76,14,5,168,0.246,0.338,0.376,0.714,0.13,10.582,22.222,10.053,0.315,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,112,CHC,chn,chc,Chicago Cubs,R,1903,1651,388,250,74,6,58,214,6,208,23,12,399,0.235,0.329,0.392,0.721,0.157,11.245,20.967,10.93,0.317,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,145,CWS,cha,cws,Chicago White Sox,L,727,624,152,96,25,1,30,74,4,70,14,6,172,0.244,0.334,0.431,0.765,0.187,10.179,23.659,9.629,0.331,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,145,CWS,cha,cws,Chicago White Sox,R,1833,1605,388,253,69,5,61,170,6,164,32,13,439,0.242,0.324,0.405,0.729,0.163,9.274,23.95,8.947,0.318,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,113,CIN,cin,cin,Cincinnati Reds,L,610,531,122,73,22,2,25,67,3,64,4,5,155,0.23,0.318,0.42,0.738,0.19,10.984,25.41,10.492,0.319,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,113,CIN,cin,cin,Cincinnati Reds,R,1955,1732,401,254,83,4,60,193,2,191,13,9,471,0.232,0.312,0.388,0.7,0.156,9.872,24.092,9.77,0.307,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,114,CLE,cle,cle,Cleveland Guardians,L,810,702,172,116,35,3,18,85,4,81,7,12,169,0.245,0.328,0.38,0.708,0.135,10.494,20.864,10.0,0.309,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,114,CLE,cle,cle,Cleveland Guardians,R,1820,1598,358,228,80,3,47,189,4,185,17,7,375,0.224,0.311,0.366,0.677,0.142,10.385,20.604,10.165,0.299,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,115,COL,col,col,Colorado Rockies,L,655,600,142,98,32,2,10,41,2,39,8,3,180,0.237,0.293,0.347,0.64,0.11,6.26,27.481,5.954,0.28,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,115,COL,col,col,Colorado Rockies,R,1918,1699,427,275,91,7,54,171,0,171,27,15,430,0.251,0.327,0.408,0.735,0.157,8.916,22.419,8.916,0.321,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,116,DET,det,det,Detroit Tigers,L,680,574,122,70,32,2,18,92,1,91,7,6,153,0.213,0.325,0.369,0.694,0.156,13.529,22.5,13.382,0.308,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,116,DET,det,det,Detroit Tigers,R,1918,1714,419,274,78,11,56,168,1,167,16,16,435,0.244,0.315,0.401,0.716,0.157,8.759,22.68,8.707,0.312,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,117,HOU,hou,hou,Houston Astros,L,664,591,143,88,28,3,24,53,3,50,12,4,138,0.242,0.315,0.421,0.736,0.179,7.982,20.783,7.53,0.318,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,117,HOU,hou,hou,Houston Astros,R,1986,1762,427,275,86,2,64,183,12,171,21,14,448,0.242,0.319,0.402,0.721,0.16,9.215,22.558,8.61,0.313,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,118,KC,kca,kc,Kansas City Royals,L,756,669,161,106,36,4,15,67,4,63,11,6,154,0.241,0.317,0.374,0.691,0.133,8.862,20.37,8.333,0.302,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
2026,118,KC,kca,kc,Kansas City Royals,R,1812,1597,380,252,76,4,48,170,3,167,16,23,396,0.238,0.313,0.381,0.694,0.143,9.382,21.854,9.216,0.303,estimated_static_weights,,mlb_statsapi_raw_team_splits,mlb_raw_complete,2026-06-11T21:07:56+00:00
